Quantity,Price,Rate,Holiday,customer_age,customer_birthdate,customer_gender,Customer_Type,customer_City,City_Population,City_Density(people/km2),employee_age,employee_BirthDate,employee_months_working,employee_HireDate,RoleDesc,WH,EmpType,Branch_Name,Branch_Location,PaymentMethod,DEPARTMENT,orderDate_quarter,OrderedDate,promotionDate_quarter,PromotionDate,PromotionType
40,310.8,8.8,0,65,24/11/1956,Female,Normal,East,300300,11.3,32,04/01/1990,10,01/10/2021,Cashier,6h,Fixed term,A,East,Cash,Gifts,4,15/11/2021 00:00,4,01/11/2021 00:00,No Promotion
6,29.3,6.2,0,63,22/04/1959,Female,Normal,North,1137100,723.4,27,11/09/1994,4,02/04/2022,Cashier,6h,Part-time,A,East,Ewallet,Designer,4,09/12/2021 00:00,4,14/10/2021 00:00,Free Gift with Purchase
6,664.7,6.9,1,72,09/01/1950,Female,Member,North,146900,350.1,32,29/12/1989,6,01/02/2021,Cashier,12h,Part-time,C,East,Ewallet,Kids,2,20/06/2021 00:00,2,02/05/2021 00:00,Free Gift with Purchase
22,412.9,9.4,1,69,25/07/1953,Female,Member,West,428000,382,32,19/10/1989,0,23/07/2021,Cashier,12h,Shiftworkers,C,East,Cash,Activewear,4,09/12/2021 00:00,4,11/11/2021 00:00,Giveaways
45,170.5,2.5,0,57,24/05/1965,Male,Member,East,300300,11.3,36,28/03/1986,4,31/03/2021,Cashier,12h,Full-time,D,West,Ewallet,Kids,3,16/09/2021 00:00,3,05/08/2021 00:00,No Promotion
117,120.6,1.4,1,71,14/09/1950,Male,Member,West,159700,170,32,01/03/1990,6,28/01/2022,Cashier,12h,Shiftworkers,B,North,Credit card,Sale,3,16/08/2021 00:00,3,02/08/2021 00:00,Free Gift with Purchase
3,92.1,2.9,1,69,22/06/1953,Female,Member,East,951800,199.9,32,04/01/1990,10,01/10/2021,Cashier,6h,Fixed term,A,East,Credit card,Activewear,4,28/11/2021 00:00,4,14/11/2021 00:00,Giveaways
138,920.3,4.2,1,59,27/03/1963,Male,Normal,South,139200,20.2,36,20/12/1985,11,10/08/2021,Cashier,12h,Shiftworkers,A,East,Cash,Kids,4,23/12/2021 00:00,4,16/12/2021 00:00,Online Promotion
90,358.4,4.3,0,61,03/09/1960,Male,Normal,West,89400,40.5,37,27/02/1985,10,17/09/2021,Cashier,12h,Full-time,B,North,Credit card,Kids,1,26/01/2022 00:00,4,08/12/2021 00:00,Free Gift with Purchase
44,102.6,6,0,60,02/07/1962,Male,Normal,North,1137100,723.4,24,23/01/1998,8,30/11/2021,Cashier,6h,Part-time,A,East,Credit card,Kids,2,17/06/2021 00:00,2,22/04/2021 00:00,Giveaways
123,206.2,7.8,0,69,04/09/1952,Male,Member,North,1137100,723.4,37,10/09/1984,2,17/05/2022,Cashier,6h,Fixed term,A,East,Cash,Kids,2,28/05/2021 00:00,2,02/04/2021 00:00,Sales Promotion
179,238.3,3.2,0,58,19/08/1963,Male,Normal,West,89400,40.5,20,11/08/2001,2,10/05/2022,Cashier,6h,Fixed term,C,East,Cash,Designer,4,12/11/2021 00:00,4,01/10/2021 00:00,Giveaways
4,800.9,9.2,1,55,25/10/1966,Female,Member,North,191700,467.8,29,27/09/1992,9,13/10/2021,Cashier,12h,Full-time,C,East,Cash,Young Adult,1,01/02/2021 00:00,1,25/01/2021 00:00,Giveaways
24,188.2,2.1,1,58,20/12/1963,Male,Member,North,146900,350.1,37,08/10/1984,2,27/05/2021,Cashier,6h,Full-time,D,West,Cash,Men,3,01/09/2021 00:00,3,07/07/2021 00:00,No Promotion
20,739.7,8.5,0,61,28/12/1960,Female,Normal,West,89400,40.5,35,01/12/1986,5,16/02/2022,Cashier,12h,Part-time,D,West,Cash,Women,4,29/11/2021 00:00,4,22/11/2021 00:00,Online Promotion
17,669.7,9,1,62,26/06/1960,Female,Member,West,159700,170,34,30/06/1988,9,19/10/2021,Cashier,6h,Fixed term,C,East,Cash,Beauty,2,12/04/2021 00:00,1,15/03/2021 00:00,Discount Promotions
69,423.4,6.2,1,55,24/02/1967,Male,Member,South,121400,3.7,22,26/10/1999,4,24/03/2022,Cashier,12h,Shiftworkers,E,South,Ewallet,Activewear,3,11/07/2021 00:00,2,16/05/2021 00:00,Online Promotion
62,289.2,5.2,1,55,18/12/1966,Female,Member,North,146900,350.1,20,29/06/2002,2,10/05/2021,Cashier,6h,Fixed term,D,West,Credit card,Men,4,22/12/2021 00:00,4,15/12/2021 00:00,Tiered Promotions
9,108.5,9.6,0,57,25/10/1964,Female,Normal,West,428000,382,24,23/01/1998,8,30/11/2021,Cashier,6h,Part-time,A,East,Cash,Beauty,1,09/02/2021 00:00,1,12/01/2021 00:00,Giveaways
75,882.8,1.7,1,71,14/08/1950,Female,Member,West,159700,170,20,01/02/2002,10,09/09/2021,Cashier,12h,Shiftworkers,A,East,Cash,Beauty,1,13/02/2021 00:00,1,16/01/2021 00:00,Free Gift with Purchase
